Hanzi 汉字,Pinyin 拼音,Meaning
难得,nándé,hard to come by; difficult to get; rare
难堪,nánkān,hard to take; endure; embarrassed
难能可贵,nánnéngkěguì,estimable; extremely good
恼火,nǎohuǒ,get angry; irritated; annoy
内涵,nèihán,connotation
内幕,nèimù,inside story; non-public information; behind the scenes
内在,nèizài,intrinsic; innate
能量,néngliàng,energy; capabilities
拟定,nǐdìng,make an initial draft; draw up
逆行,nìxíng,go/drive against the traffic; go in the wrong direction; regress; retrograde
年度,niándù,year (e.g. school year; fiscal year; etc.); annual
捏,niē,to pinch (with one's fingers); knead
凝固,nínggù,curdle; freeze; solidify; congeal
凝聚,níngjù,agglomeration; agglomerate; cohesion; coherence
凝视,níngshì,gaze; stare
拧,níng,wring; to pinch
宁肯,nìngkěn,would rather ...; it would be better
宁愿,nìngyuàn,would rather; better
扭转,niǔzhuǎn,to reverse; turn around (an undesirable situation)
纽扣儿,niǔkòur,button
农历,nónglì,agricultural calendar; lunar calendar
浓厚,nónghòu,dense; thick (fog; clouds; etc.)
奴隶,núlì,slave
虐待,nüèdài,to abuse; maltreat; tyrannize
挪,nuó,shift; move
哦,ò,oh (indicates understanding)
殴打,ōudǎ,beat up; hit
呕吐,ǒutù,to vomit; retch; nausea
偶像,ǒuxiàng,Idol
趴,pā,lie on one's stomach
排斥,páichì,to reject; repulse; exclude
排除,páichú,eliminate; get rid of; remove
排放,páifàng,to discharge; emit
排练,páiliàn,to rehearse
徘徊,páihuái,pace back and forth; hesitate; waver
派别,pàibié,denomination; group; school; faction; school of thought; sect
派遣,pàiqiǎn,send (on a mission); dispatch
攀登,pāndēng,to climb; clamber; to pull oneself up
盘旋,pánxuán,spiral; coil; circle; go around
判决,pànjué,judgment (by a court of law); adjudicate
畔,pàn,riverbank; side; boundary
庞大,pángdà,enormous; huge; tremendous
抛弃,pāoqì,discard; abandon; dump (sb)
泡沫,pàomò,foam; (soap bubble); (economic) bubble
培育,péiyù,to train; nurture; to breed
配备,pèibèi,provide; outfit with
配偶,pèi'ǒu,mate; consort; spouse
配套,pèi tào,form a complete set
盆地,péndì,basin
烹饪,pēngrèn,cooking; culinary arts
捧,pěng,hold or carry with both hands facing up
批发,pīfā,wholesale
批判,pīpàn,criticize; critique
劈,pī,split in two; to divide
皮革,pígé,leather
疲惫,píbèi,beaten; exhausted; tired
疲倦,píjuàn,tired; weary
屁股,pìgu,butt; rear; rump
譬如,pìrú,for example; for instance; such as
偏差,piānchā,bias; deviation
偏见,piānjiàn,prejudice
偏僻,piānpì,remote and isolated; far from the city
偏偏,piānpiān,unexpectedly; contrary to expectations
片断,piànduàn,part; passage; extract; fragment; snatch
片刻,piànkè,a short period of time
漂浮,piāofú,superficial; float; hover; drift
飘扬,piāoyáng,wave in the wind; flutter; fly
撇,piě,left-curving stroke (丿); throw; fling
拼搏,pīnbó,struggle; wrestle
拼命,pīn mìng,risk one's life; desperately; with all one's might
贫乏,pínfá,lacking; incomplete
贫困,pínkùn,poor; impoverished
频繁,pínfán,frequently; often
频率,pínlǜ,frequency
品尝,pǐncháng,try; taste a small amount; to sample
品德,pǐndé,moral character; morality; morals
品质,pǐnzhì,quality; character
品种,pǐnzhǒng,breed; variety
平凡,píngfán,commonplace; ordinary
平面,píngmiàn,a plane (i.e. flat surface); type; category
平坦,píngtǎn,flat
平行,píngxíng,parallel; concurrent
平庸,píngyōng,mediocre
平原,píngyuán,field; plain; flatlands
评估,pínggū,evaluate
评论,pínglùn,comment on; discuss; remark
屏幕,píngmù,screen (TV; etc.)
屏障,píngzhàng,wall; barrier; protective screen
坡,pō,slope
泼,pō,to splash; to spill; rude and unreasonable; brutish
颇,pō,rather; quite; inclined to one side
迫不及待,pòbùjídài,be too impatient to wait
迫害,pòhài,persecute; persecution
破例,pòlì,make an exception
魄力,pòlì,daring resolution; boldness; courage
扑,pū,to assault; rush at; throw oneself on
铺,pù; pū,bed; store | to spread; to lay
朴实,pǔshí,plain; sober; down-to-earth
朴素,pǔsù,plain; simple; austerity
普及,pǔjí,widespread; popular; popularize
瀑布,pùbù,waterfall
凄凉,qīliáng,desolate; feel like no one likes you
期望,qīwàng,hope; expectation
期限,qīxiàn,time limit; deadline; allotted time
欺负,qīfu,to bully; intimidate
欺骗,qīpiàn,deceive; to cheat; to dupe
齐全,qíquán,complete
齐心协力,qíxīnxiélì,make concerted efforts
奇妙,qímiào,wonderful; fantastic
歧视,qíshì,discriminate (against someone)
旗袍,qípáo,cheongsam; Chinese-style dress
旗帜,qízhì,flag; banner
乞丐,qǐgài,beggar
岂有此理,qǐ yǒu cǐ lǐ,outrageous; ridiculous; absurd
企图,qǐtú,(to ) attempt; try; attempt
启程,qǐchéng,set out on a journey
启蒙,qǐméng,enlighten; enlightenment； instruct the young; to initiate
启示,qǐshì,enlightenment; revelation
启事,qǐshì,announcement; public information (usually posted on a billboard)
起草,qǐ cǎo,draft (a bill); draw up (plans)
起初,qǐchū,at first; originally; in the beginning
起伏,qǐfú,ups and downs; with a wavy motion
起哄,qǐ hòng,gather together; cause a commotion
起码,qǐmǎ,at the minimum; at the very least
起源,qǐyuán,origin; originate; come from
气概,qìgài,mettle; spirit; gumption
气功,qìgōng,Qi Gong; a system of deep breathing exercises
气魄,qìpò,spirit; daring; nerve; boldness; enterprising outlook
气色,qìsè,complexion
气势,qìshì,imposing manner; look of great force or imposing manner
气味,qìwèi,odor; scent
气象,qìxiàng,meteorology; atmosphere; phenomenon
气压,qìyā,atmospheric pressure; barometric pressure
气质,qìzhì,temperament; disposition
迄今为止,qìjīnwéizhǐ,until now; so far; to date
器材,qìcái,equipment; material
器官,qìguān,organ; apparatus
掐,qiā,pick (flowers); pinch; clutch
洽谈,qiàtán,discuss; talk over
恰当,qiàdàng,appropriate; suitable; proper
恰到好处,qià dào hǎo chù,just right; it's just perfect
恰巧,qiàqiǎo,happen by chance; coincidence
千方百计,qiān fāng bǎi jì,by every possible means
迁就,qiānjiù,humor; yield; adapt to; accommodate (something)
迁徙,qiānxǐ,migrate; move; change one's residence
牵,qiān,to lead along; to pull (an animal on a tether)
牵扯,qiānchě,implicate; involve
牵制,qiānzhì,control; curb; restrict; impede
谦逊,qiānxùn,humble; modest; humility
签署,qiānshǔ,sign (an agreement)
前景,qiánjǐng,outlook; future (prospects); foreground
前提,qiántí,premise; precondition
潜力,qiánlì,potential; capacity
潜水,qiánshuǐ,go diving
潜移默化,qiányímòhuà,exert a subtle influence on sb.'s character; thinking; etc.; impercebtibly influence; to influence secretly
谴责,qiǎnzé,denounce; condemn; criticize
强制,qiángzhì,enforce; control; coerce
抢劫,qiǎngjié,rob; looting
抢救,qiǎngjiù,rescue; to save
强迫,qiǎngpò,compel; to force
桥梁,qiáoliáng,bridge
窍门,qiàomén,special tricks
翘,qiào,stick up; bend upwards
切实,qièshí,realistic; feasible; conscientiously
锲而不舍,qiè'érbùshě,keep on chipping away; work with perseverance
钦佩,qīnpèi,admire; have great respect for
侵犯,qīnfàn,encroach on; infringe on; violation
侵略,qīnlüè,invasion; encroachment; invade
亲密,qīnmì,intimate; close; familiarity
亲热,qīnrè,intimate; affectionate; warm
勤俭,qínjiǎn,hardworking and thrifty
勤劳,qínláo,hardworking; diligent; industrious
倾听,qīngtīng,listen attentively; heed (other people's opinions)
倾向,qīngxiàng,trend; tendency; inclination
倾斜,qīngxié,incline; lean; to slant; to slope; to tilt
清澈,qīngchè,clear; limpid
清晨,qīngchén,early morning
清除,qīngchú,eliminate; get rid of
清洁,qīngjié,clean; unpolluted; purity
清理,qīnglǐ,cleanup; put in order; check up
清晰,qīngxī,clear; distinct; clarity
清醒,qīngxǐng,clear-headed; sober; regain consciousness
清真,qīngzhēn,Muslim
情报,qíngbào,intelligence; information-gathering
情节,qíngjié,plot; circumstances
情理,qínglǐ,reason; sense
情形,qíngxing,circumstances; situation
晴朗,qínglǎng,sunny and cloudless
请柬,qǐngjiǎn,invitation card; written invitation
请教,qǐngjiào,consult; seek advice
请示,qǐngshì,ask for instructions
请帖,qǐngtiě,invitation card; written invitation
丘陵,qiūlíng,hills
区分,qūfēn,differentiate; find differing aspects; find the difference between
区域,qūyù,area; region; district
曲折,qūzhé,winding; zigzag; complicated
驱逐,qūzhú,banishment; expel; deport
屈服,qūfú,yield; give in; submit
渠道,qúdào,irrigation ditch; medium or channel of communication
曲子,qǔzi,folk tune; music; melody
取缔,qǔdì,to ban; suppress
趣味,qùwèi,fun; interest; delight; taste
圈套,quāntào,trap
权衡,quánhéng,trade-off; weigh pros and cons
权威,quánwēi,authority; authoritative
全局,quánjú,overall situation
全力以赴,quán lì yǐ fù,do at all costs; make an all-out effort
拳头,quántou,fist
犬,quǎn,dog (Kangxi radical 94)
缺口,quēkǒu,gap; breach; shortfall
缺席,quē xí,absence; absent; default
缺陷,quēxiàn,a defect; a flaw; disfigurement
瘸,qué,lame
确保,quèbǎo,ensure; guarantee
确立,quèlì,to establish; to institute
确切,quèqiè,definite; exact; precise
确信,quèxìn,confident; be certain of; to firmly believe
群众,qúnzhòng,the masses; multitude
染,rǎn,dye; to catch (a disease)
嚷,rǎng,blurt out; shout
让步,ràng bù,give in; concede; yield
饶恕,ráoshù,forgive; pardon; spare
扰乱,rǎoluàn,disturb; perturb; harass
惹祸,rěhuò,stir up troubles
热泪盈眶,rè lèi yíng kuàng,(saying) eyes brimming with tears; extremely moved
热门,rèmén,in demand; popular; in vogue
人道,réndào,humanitarianism; humane
人格,réngé,personality; moral integrity; character
人工,réngōng,man-made; manpower; manual work
人家,rénjiā,other people; others; they; I; family; household
人间,rénjiān,man's world; the world
人士,rénshì,person; public figure
人为,rénwéi,artificial; man-made
人性,rénxìng,human nature; humanity
人质,rénzhì,hostage
仁慈,réncí,benevolent; kindhearted; charitable
忍耐,rěnnài,show restraint; endure; exercise patience
忍受,rěnshòu,to bear; endure; tolerate
认定,rèndìng,maintain (that sth. is true); firmly believe
认可,rènkě,approve; accept; ratify
任命,rènmìng,appoint and nominate
任性,rènxìng,willful; headstrong
任意,rènyì,arbitrarily; at will; at random
任重道远,rènzhòngdàoyuǎn,lit. a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle; shoulder heavy responsibilities
仍旧,réngjiù,still (remaining); remain (the same); yet
日新月异,rìxīnyuèyì,change with each passing day
日益,rìyì,day by day; more and more; increasingly
荣幸,róngxìng,honored
荣誉,róngyù,honor; glory
容貌,róngmào,facial features; looks; appearance
容纳,róngnà,contain; accommodate; tolerate (different options)
容器,róngqì,container; receptacle; vessel
容忍,róngrěn,put up with; tolerate; condone
溶解,róngjiě,dissolve; solution
融化,rónghuà,melt; thaw; dissolve; blend into
融洽,róngqià,harmonious; friendly relations
柔和,róuhé,gentle; soft; mild
揉,róu,knead; to massage; to rub
儒家,rújiā,Confucianism
若干,ruògān,a certain number or amount; how many; how much
弱点,ruòdiǎn,weak point; failing
撒谎,sā huǎng,to tell lies
散文,sǎnwén,prose; essay
散布,sànbù,to scatter; disseminate; to spread
散发,sànfā,distribute; emit
丧失,sàngshī,to lose; to forfeit
骚扰,sāorǎo,harass; disturb; molest; cause a commotion
嫂子,sǎozi,(informal) elder brother's wife; sister-in-law
刹车,shā chē,brake (when driving); stop; switch off
啥,shá,(spoken) what
筛选,shāixuǎn,to filter; to sift
山脉,shānmài,mountain range
闪烁,shǎnshuò,to twinkle; to flicker; glimmer
擅长,shàncháng,be good at; be expert in
擅自,shànzì,unauthorized
伤脑筋,shāng nǎojīn,troublesome; bothersome
商标,shāngbiāo,trademark; logo
上级,shàngjí,higher authorities; superiors
上进,shàngjìn,make forward progress; do better
上任,shàng rèn,take office
上瘾,shàngyǐn,become addicted; get into a habit
上游,shàngyóu,upper reaches (of a river); advanced position
尚且,shàngqiě,yet; still; even; also
捎,shāo,bring or take (along); deliver (a message)
梢,shāo,tip of a branch
哨,shào,a whistle; sentry post
奢侈,shēchǐ,luxury; sumptuous; extravagant
舌头,shétou,tongue
设立,shèlì,set up; establish
设想,shèxiǎng,imagine; consider; tentative plan
设置,shèzhì,set up; install; to fit
社区,shèqū,community
涉及,shèjí,involve; relate to; to touch upon (a topic)
摄氏度,shèshìdù,degrees Celsius
申报,shēnbào,declare; report (to customs or other authority)
呻吟,shēnyín,to moan; to groan
绅士,shēnshì,gentleman
深奥,shēn'ào,profound; deep
深沉,shēnchén,deep; extreme; low pitched (sound); grave; of major importance
深情厚谊,shēnqínghòuyì,profound friendship
神经,shénjīng,nerve
神奇,shénqí,miraculous; magical; mystical
神气,shénqì,expression; manner; spirited
神圣,shénshèng,divine; holy; sacred
神态,shéntài,appearance; looks; manner; expression
神仙,shénxiān,fig. lighthearted person; Daoist immortal; supernatural entity; (in modern fiction) fairy; elf; leprechaun; etc.; supernatural being; celestial being; immortal; a person who has the power of clairvoyance or who is free from worldly cares
审查,shěnchá,examine; investigate; censorship
审理,shěnlǐ,hear (a case)
审美,shěnměi,aesthetic sense; appreciation of the arts
审判,shěnpàn,put (someone) to trial; to try somebody
渗透,shèntòu,infiltrate; permeate
慎重,shènzhòng,cautious; careful; prudent
生存,shēngcún,exist; survive
生机,shēngjī,reprieve from death; life force; vitality
生理,shēnglǐ,physiology
生疏,shēngshū,unfamiliar; strange; out of practice
生态,shēngtài,way of life; ecology
生物,shēngwù,organism; living creature; life form
生肖,shēngxiào,Chinese zodiac
生效,shēng xiào,take effect; become effective
生锈,shēngxiù,to rust
生育,shēngyù,give birth; to rear; bring up (children)
声明,shēngmíng,statement; declare; proclaim
声势,shēngshì,momentum; fame and power; prestige
声誉,shēngyù,reputation; fame
牲畜,shēngchù,livestock; domesticated animals
省会,shěnghuì,provincial capital
胜负,shèngfù,victory or defeat; the outcome of a battle
盛产,shèngchǎn,abound in; teem with; superabundant
盛开,shèngkāi,to bloom; be in full flower
盛情,shèngqíng,great kindness; boundless hospitality
盛行,shèngxíng,in fashion; prevalent; prevail
尸体,shītǐ,dead body; corpse; carcass
失事,shī shì,be involved in a crash; (have an) accident
失误,shīwù,mistake; lapse; miss
失踪,shī zōng,be missing; be unaccounted for
师范,shīfàn,teacher-training; pedagogical; normal (school)
施加,shījiā,exert (effort or pressure)
施展,shīzhǎn,use fully; put to good use
十足,shízú,full of; complete; 100 percent
石油,shíyóu,oil; petroleum
时常,shícháng,time and again; often; frequently
时而,shí'ér,occasionally; often; but not at any fixed time
时光,shíguāng,time; era; period of time
时机,shíjī,opportune time; opportunity
时事,shíshì,current events; the present situation
识别,shíbié,identify; distinguish; discern
实惠,shíhuì,substantial material benefit; advantageous (deal)
实力,shílì,strength
实施,shíshī,to implement; put into effect; carry out
实事求是,shí shì qiú shì,be practical and realistic; seek truth from facts
实行,shíxíng,to implement; put into practice; carry out
实质,shízhì,substance; essence; gist
拾,shí,pick up; ten (banker's anti-fraud numeral)
使命,shǐmìng,a (diplomatic or other) mission
示范,shìfàn,demonstrate; lead the way; show how something is done
示威,shìwēi,hold a protest demonstration
示意,shìyì,to signal; to hint; to gesture; to motion; to indicate (an idea to sb)
世代,shìdài,for generations; generation to generation
势必,shìbì,is bound to (happen)
势力,shìli,power; influence
事故,shìgù,accident
事迹,shìjì,achievement; deed
事件,shìjiàn,event; happening; incident
事态,shìtài,situation; existing state of affairs
事务,shìwù,affairs; work
事项,shìxiàng,matter; item
事业,shìyè,undertaking; project; cause; enterprise
试图,shìtú,to try; to attempt
试验,shìyàn,experiment; test
视力,shìlì,vision; eyesight
视频,shìpín,video
视线,shìxiàn,line of sight; view line
视野,shìyě,field of vision
是非,shìfēi,right and wrong; truth and fiction; quarrel
适宜,shìyí,suitable for; appropriate for
逝世,shìshì,pass away; to die
释放,shìfàng,release; set free; liberate (a prisoner)
收藏,shōucáng,collect; keep
收缩,shōusuō,pull back; shrink
收益,shōuyì,earnings; profit
收音机,shōuyīnjī,radio
手法,shǒufǎ,technique; trick; skill; tact
手势,shǒushì,gesture; sign; signal
手艺,shǒuyì,craft; workmanship; one's cooking
守护,shǒuhù,guard; defend; protect
首饰,shǒushì,jewelry
首要,shǒuyào,the most important; chief; principal
受罪,shòuzuì,endure hardships; have a hard time
授予,shòuyǔ,to award; confer
书法,shūfǎ,calligraphy; penmanship
书籍,shūjí,books; works
书记,shūji,secretary; clerk
书面,shūmiàn,in writing; written (guarantee; etc.)
舒畅,shūchàng,happy; entirely free from worry
疏忽,shūhu,neglect; overlook; negligence
疏远,shūyuǎn,drift apart; keep at a distance; not in close touch; estranged
束,shù,to tie; to bind; restrain; (mw for bunches; bundles; bouquets; etc.)
束缚,shùfù,to bind; restrict; to tie
树立,shùlì,set up; establish
竖,shù,vertical; to erect; vertical stroke
数额,shù'é,amount; sum of money; fixed number
耍,shuǎ,play/mess around with; juggle
衰老,shuāilǎo,grow old; age; deteriorate
衰退,shuāituì,decline; fall; drop; falter
率领,shuàilǐng,lead; command; head
涮火锅,shuànhuǒguō,to instant-boil (mutton; beef; vegetables; etc.)
双胞胎,shuāngbāotāi,twins
爽快,shuǎngkuài,refreshed; rejuvenated; frank
水利,shuǐlì,water conservancy; irrigation works
水龙头,shuǐlóngtóu,faucet; tap
水泥,shuǐní,cement
瞬间,shùnjiān,in the twinkling of an eye; in an instant; momentary
司法,sīfǎ,judicial; (administration of) justice
司令,sīlìng,commanding officer
私自,sīzì,private; secretly; without permission
思念,sīniàn,think of; long for; to miss
思索,sīsuǒ,think deeply; ponder
思维,sīwéi,(line) of thought; thinking
斯文,sīwen,refined; educated; cultured; intellectual; men of letters; scholars; literati; polite; gentle
死亡,sǐwáng,to die; death; be dead
四肢,sìzhī,arms and legs; the four limbs of the body
寺庙,sìmiào,temple; monastery
饲养,sìyǎng,to raise; to rear (domestic animal)
肆无忌惮,sìwújìdàn,absolutely unrestrained; unbridled; without the slightest scruple
耸,sǒng,shrug; towering; shock (alarm)
艘,sōu,(mw for boats and ships)
苏醒,sūxǐng,wake up; regain consciousness
俗话,súhuà,common saying; proverb
诉讼,sùsòng,lawsuit
素食,sùshí,vegetables; vegetarian food
素质,sùzhì,inner quality; basic essence; character quality
塑造,sùzào,to shape; mould; figure
算数,suànshù,(do) arithmetic; count
随即,suíjí,immediately (after); soon after; immediately
随意,suíyì,as one wishes; according to one's wishes
岁月,suìyuè,the years of a person's life
隧道,suìdào,tunnel
损坏,sǔnhuài,to damage; injure
索取,suǒqǔ,demand; ask for; to exact
索性,suǒxìng,you might as well (do it); simply; just; frankly; bluntly; directly
塌,tā,collapse; fall down; crumple
踏实,tāshi,practical; down-to-earth; realistic; feel at ease; steadfast
塔,tǎ,pagoda; tower
台风,táifēng,typhoon
太空,tàikōng,outer space
泰斗,tàidǒu,leading scholar of his time; magnate
贪婪,tānlán,greedy; avaricious
贪污,tānwū,(political; moral) corruption; embezzle
摊,tān,to spread out; vendor's stand; booth; fry; (mw for puddles)
瘫痪,tānhuàn,paralysis
弹性,tánxìng,flexibility; elasticity
坦白,tǎnbái,honest; forthcoming; to confess
叹气,tàn qì,to sigh
探测,tàncè,probe; take readings; detect; explore
探索,tànsuǒ,explore; quest
探讨,tàntǎo,inquire into; explore
探望,tànwàng,pay a visit; look around
倘若,tǎngruò,provided that; supposing that; if; in case
掏,tāo,fish out (from pocket)
滔滔不绝,tāotāo bù jué,(saying) talking non-stop; gushing; torrential
陶瓷,táocí,ceramics; pottery and porcelain
陶醉,táozuì,be intoxicated (with power; success; etc.)
淘汰,táotài,eliminate (in a competition); natural selection; die/phase out
讨好,tǎohǎo,to flatter
特长,tècháng,strong point; specialty
特定,tèdìng,special; specific; designated
特意,tèyì,specially for; with the special intention of
提拔,tíbá,promote to a higher job; elevate
提炼,tíliàn,extract (ore; minerals; etc.); refine; purify
提示,tíshì,to prompt; to present; to point out; to draw attention to sth; hint; brief; cue
提议,tíyì,propose; suggest
题材,tícái,subject matter
体裁,tǐcái,types or forms of literature
体积,tǐjī,volume; bulk
体谅,tǐliàng,empathize; express sympathy; allow (for something)
体面,tǐmiàn,dignity; honorable; face
体系,tǐxì,system; setup
天才,tiāncái,talent; gift; a genius; talented
天赋,tiānfù,natural talent
天伦之乐,tiānlúnzhīlè,family happiness
天然气,tiānránqì,natural gas
天生,tiānshēng,innate; inherent; natural
天堂,tiāntáng,paradise; heaven
天文,tiānwén,astronomy
田径,tiánjìng,track and field
田野,tiányě,field; open country
舔,tiǎn,to lick
挑剔,tiāoti,picky; fastidious
条款,tiáokuǎn,clause (of contract or law)
条理,tiáolǐ,consecutive; arrangement; orderliness
条约,tiáoyuē,treaty; pact
调和,tiáohé,harmonious; harmony
调剂,tiáojì,make an adjustment
调节,tiáojié,adjust; regulate; reconcile
调解,tiáojiě,mediation; bring together to an agreement
调料,tiáoliào,seasoning; flavoring
挑拨,tiǎobō,incite disharmony; provoke; stir up tension in others
挑衅,tiǎoxìn,provoke; defiance
跳跃,tiàoyuè,jump; leap; bound; skip
亭子,tíngzi,pavilion; kiosk
停泊,tíngbó,anchor; mooring (of a ship)
停顿,tíngdùn,pause; halt
停滞,tíngzhì,stagnation; be at a standstill; bogged down
挺拔,tǐngbá,tall and straight
通货膨胀,tōnghuò péngzhàng,inflation
通缉,tōngjī,order the arrest of a criminal
通俗,tōngsú,popular; common; everyday; average; vulgar
通讯,tōngxùn,communication; correspondence; news dispatch
通用,tōngyòng,in common use; interchangeable; General Motors
同胞,tóngbāo,compatriot; fellow countryman
同志,tóngzhì,comrade; gay (slang)
铜,tóng,copper
童话,tónghuà,fairy tale
统筹兼顾,tǒngchóujiāngù,take every aspects into consideration through plan and preparation
统计,tǒngjì,statistics; to tally; to add up
统统,tǒngtǒng,totally; completely
统治,tǒngzhì,to rule (a country); govern; governance
投机,tóujī,speculate (on financial markets); congenial; opportunistic
投票,tóupiào,vote; poll
投诉,tóusù,make a complaint; appeal to a court
投降,tóuxiáng,to surrender
投掷,tóuzhì,throw something a long distance; hurl
透露,tòulù,divulge; to reveal; leak out
秃,tū,bald; blunt
突破,tūpò,break through; breakthrough
图案,tú'àn,design; pattern
徒弟,túdì,disciple
途径,tújìng,way; channel
涂抹,túmǒ,scribble; smear; doodle
土壤,tǔrǎng,soil; earth
团结,tuánjié,unite; hold a rally; join forces
团体,tuántǐ,group; organization; team
团圆,tuányuán,have a reunion; reunite as a family
推测,tuīcè,speculate; conjecture; surmise
推翻,tuīfān,overthrow; topple
推理,tuīlǐ,reasoning; speculative; inference
推论,tuīlùn,infer; a deduction; a corollary
推销,tuīxiāo,to market; sell
吞吞吐吐,tūntūntǔtǔ,hum and haw (idiom); mumble as if hiding something; speak and break off; then start again; to hold something back
托运,tuōyùn,check in (baggage); consign for shipment
拖延,tuōyán,prolong; protraction; delay; stall; procrastinate
脱离,tuōlí,to separate oneself from; to break away from; be divorced from; diastasis (medicine); abscission; abjunction (botany)
妥当,tuǒdang,appropriate; proper; pertinence
妥善,tuǒshàn,appropriate; proper; well-arranged
妥协,tuǒxié,to compromise; reach terms
椭圆,tuǒyuán,ellipse; oval
唾弃,tuòqì,cast aside; spurn
挖掘,wājué,excavate; dig; unearth
哇,wa,wow; (sound of crying or surprise)
娃娃,wáwa,baby; child; doll
瓦解,wǎjiě,collapse; disintegrate; crumble
歪曲,wāiqū,to distort; to misrepresent; to twist; crooked; askew; aslant
外表,wàibiǎo,outward appearance; external; outside
外行,wàiháng,layman; amateur; nonprofessional
外界,wàijiè,the outside world; external
外向,wàixiàng,extroverted; export-oriented (economy)
丸,wán,pill; pellet
完备,wánbèi,complete; perfect
完毕,wánbì,finish; end; complete
玩弄,wánnòng,resort to; play with; engage in
玩意儿,wányìr,thing; toy; gadget
顽固,wángù,stubborn; obstinate
顽强,wánqiáng,tenacious; hard to defeat
挽回,wǎnhuí,reverse or salvage (a situation); redeem; retrieve
挽救,wǎnjiù,to rescue; retrieve; to remedy
惋惜,wǎnxī,feel sorry for a person; sympathize; to regret
万分,wànfēn,very much; extremely
往常,wǎngcháng,habitually in the past; as one used to do; as it used to be
往事,wǎngshì,the past events; former happenings
妄想,wàngxiǎng,vainly hope; wishful thinking; delusion
危机,wēijī,crisis
威风,wēifēng,awe-inspiring authority; power and prestige; impressive force
威力,wēilì,might; power that invokes fear
威望,wēiwàng,prestige
威信,wēixìn,prestige; reputation; veneration; authority; trust
微不足道,wēi bù zú dào,negligible; insignificant; not worth mentioning
微观,wēiguān,microscopic; sub atomic
为难,wéinán,make things difficult for someone; embarrassed
为期,wéiqī,be scheduled for; last for (a certain duration)
违背,wéibèi,violate; go against
唯独,wéidú,only; just (i.e. it is only that ...); alone
维持,wéichí,maintain; preserve
维护,wéihù,defend; to safeguard; defense; maintain
维生素,wéishēngsù,vitamin
伪造,wěizào,forge; to fake; to counterfeit
委托,wěituō,to entrust; to trust; to ensign; to commission
委员,wěiyuán,committee member; committee; council
卫星,wèixīng,satellite
未免,wèimiǎn,(of something that one finds has gone too far); rather a bit too
畏惧,wèijù,to fear; foreboding
喂,wèi; wéi,hey; to feed | hello (on the phone)
蔚蓝,wèilán,azure; sky blue
慰问,wèiwèn,to express sympathy; consolation; extend regards to; salute
温带,wēndài,temperate zone
温和,wēnhé,moderate; warm; (-huo: lukewarm)
文凭,wénpíng,diploma
文物,wénwù,cultural relic; historical relic
文献,wénxiàn,document; literature
文雅,wényǎ,elegant; refined
文艺,wényì,literature and art
问世,wènshì,be published; to come out
窝,wō,nest; den
乌黑,wūhēi,jet-black; pitch-black
污蔑,wūmiè,to slander
诬陷,wūxiàn,entrap; to frame; plant false evidence against sb.
无比,wúbǐ,matchless; incomparable
无偿,wúcháng,free; no charge; at no cost
无耻,wúchǐ,without any sense of shame; shameless; audaciousness
无动于衷,wúdòngyúzhōng,aloof; indifferent; unconcerned; untouched
无非,wúfēi,nothing but; only
无辜,wúgū,innocent
无精打采,wújīngdǎcǎi,listless; be dispirited; in low spirits
无赖,wúlài,hoodlum; rascal; rogue; rascally; scoundrelly
无理取闹,wúlǐqǔnào,to make trouble without reason (idiom); wilfully make trouble; to be deliberately provocative; deliberately awkward; pointless provocation
无能为力,wú néng wéi lì,incapable of action; powerless; impotent
无穷无尽,wúqióngwújìn,vast and limitless; endless span of time; no vestige of a beginning; no prospect of an end
无微不至,wú wēi bú zhì,in every possible way; meticulously
无忧无虑,wúyōuwúlǜ,carefree and without worries
无知,wúzhī,ignorance
武器,wǔqì,weapon; arms
武侠,wǔxiá,knight-errant; a genre of swordplay martial arts movies and books
武装,wǔzhuāng,arms; equipment; to arm
侮辱,wǔrǔ,to insult; humiliate
舞蹈,wǔdǎo,a dance
务必,wùbì,must; need to; be sure to
物美价廉,wùměijiàlián,attractive goods at inexpensive prices
物业,wùyè,property management
物资,wùzī,goods and materials; commodity
误差,wùchā,difference; error; inaccuracy
误解,wùjiě,misunderstand; misread
夕阳,xīyáng,setting sun
昔日,xīrì,formerly; in olden days
牺牲,xīshēng,sacrifice (one's life; etc.)
溪,xī,creek
熄灭,xīmiè,extinguish; go out (of fire); die out; extinction
膝盖,xīgài,knee
习俗,xísú,custom; tradition; (local) convention
袭击,xíjī,surprise attack; to raid
媳妇,xífù,daughter-in-law; son's wife
喜闻乐见,xǐwénlèjiàn,a delight to see (idiom); an attractive spectacle
喜悦,xǐyuè,happy; joyous
系列,xìliè,series
细胞,xìbāo,cell (biology)
细菌,xìjūn,bacteria; virus; germ
细致,xìzhì,delicate; meticulous
峡谷,xiágǔ,canyon; ravine; gorge
狭隘,xiá'ài,narrow; tight; narrow (minded); lacking in experience
狭窄,xiázhǎi,narrow
霞,xiá,red clouds
下属,xiàshǔ,subordinate; underling
先进,xiānjìn,advanced (technology); to advance
先前,xiānqián,before; previously
纤维,xiānwéi,fiber
掀起,xiānqǐ,lift; raise in height
鲜明,xiānmíng,bright; clear-cut; distinct
闲话,xiánhuà,gossip; digression
贤惠,xiánhuì,virtuous and dutiful (of women)
